country,year,reforms_positive,explanation_positive,reforms_negative,explanation_negative,reform_description
Afghanistan,2008,,,,,Afghanistan increased the maximum number of working days allowed per week and introduced a requirement for third-party approval for collective dismissals.
Angola,2017,,,,,"Angola adopted a new labor law that decreased the wage premium for overtime and night work and increased the wage premium for work on weekly holidays. The law also extended the maximum duration of fixed-term contracts and made fixed-term contracts able to be used for permanent tasks, reduced severance pay for redundancy dismissals of employees with five and ten years of continuous employment and increased severance pay for employees with one continuous year of service."
Argentina,2009,,,,,Argentina reduced the severance pay applicable in cases of redundancy dismissals
Armenia,2012,,,,,"Armenia increased the maximum duration of fixed-term contracts, reduced the premium applicable in case of night work as well as decreased the notice period and the severance pay applicable in case of redundancy dismissals."
Australia,2011,,,,,"Australia introduced the severance payment obligation and reemployment consideration applicable in cases of redundancy dismissals. Annual leave was increased and averaging of hours is now allowed in shorter periods of time. In addition, notice period applicable in case of redundancy dismissals was decreased."
Azerbaijan,2009,,,,,"Azerbaijan allowed fixed-term contracts to be concluded for permanent tasks, eliminated the requirements to notify third parties in cases of redundancy dismissals, and repealed a retraining or reassignment obligation before an employer can make a worker redundant."
Bahrain,2014,,,,,"Bahrain reduced the maximum cumulative duration of fixed-term contracts, made third-party notification mandatory for redundancy dismissals and increased paid annual leave."
Belarus,2016,,,,,"Belarus amended the provisions of its Labor Code relating to wage regulation, labor arbitration, calculation of overtime pay and grounds for termination of employment. It also lifted prohibitions on concurrent employment. - Belarus increased the minimum wage from 1,600,000 Belarussian Rubles per month to 2,100 000 Belarussian Rubles per month, in accordance with the ‘Determination of minimum wage’ Resolution of the Council of Ministers of the Republic of Belarus, dated 12/9/2014 No. 1151"
Belarus,2010,,,,,Belarus eliminated the requirement for third-party notification for redundancy dismissals.
Belgium,2015,,,,,Belgium increased the notice period for redundancy dismissals.
Belgium,2012,,,,,Belgium increased the severance payment obligation.
Belize,2012,,,,,Belize introduced the requirements to notify third parties in cases of redundancy dismissals.
Bhutan,2013,,,,,Bhutan introduced a minimum wage.
Bhutan,2011,,,,,Bhutan established the mandatory paid annual leave.
Bhutan,2008,,,,,"Bhutan increased the maximum duration of fixed-term contracts, eliminated restrictions on night work, introduced a requirement for third-party notification for redundancy dismissals and increased redundancy costs."
Brazil,2017,,,,,Brazil expanded eligibility for unemployment benefits to employees with one year of continuous work experience. This reform applies to both Rio de Janeiro and São Paulo.
Brazil,2013,,,,,Brazil increased the notice period applicable in cases of redundancy dismissal of employees.
Brunei Darussalam,2011,,,,,Brunei Darussalam instituted mandatory minimum annual leave and reduced notice periods applicable in case of redundancy dismissals.
Burkina Faso,2009,,,,,"Burkina Faso allowed fixed-term contracts to be concluded for permanent tasks, removed the 48-month limit on their duration. It also eliminated restrictions on “weekly holiday” work and the employer's obligation to notify a third party before dismissing one redundant worker."
Cabo Verde,2017,,,,,Cabo Verde introduced unemployment insurance for workers with a contribution period of at least six months.
Cabo Verde,2015,,,,,Cabo Verde introduced a minimum wage.
Cabo Verde,2009,,,,,"Cape Verde reduced the maximum duration of fixed-term contracts, increased paid annual leave, introduced a retraining or reassignment obligation and increased the notice period in cases of redundancy dismissals."
China,2009,,,,,China established paid annual leave and introduced priority rules for redundancy dismissals or layoffs.
Comoros,2017,,,,,The Comoros reduced the length of notice period and amount of severance payment for redundancy dismissals.
"Congo, Dem Rep",2017,,,,,The Democratic Republic of Congo adopted legislation that prohibits discrimination in hiring on the basis of gender.
Croatia,2016,,,,,"1) Croatia eliminated the requirement to retrain or reassign employees before they can be made redundant. 2) In accordance with the Minimal Wage Act, Art. 1, published in Official Gazette No.151/2014, the minimum wage has been increased from 3.017,61 Kuna/month to 3.029,55 Croatian Kuna/month gross salary, in force for the period of January 1, 2015 to December 31, 2015."
Croatia,2015,,,,,Croatia lifted the 3-year limit on the duration of first-time fixed-term contracts.
Croatia,2011,,,,,Croatia increased the mandatory paid annual leave.
Cyprus,2017,,,,,Cyprus amended its legislation to allow shops and supermarkets to operate seven days a week
Czech Republic,2014,,,,,The Czech Republic abolished the minimum wage for young workers.
Czech Republic,2013,,,,,The Czech Republic increased the maximum duration of fixed-term contracts and reduced the severance pay applicable in cases of redundancy dismissals of employees with one year of service.
